id,sentence,label
32,不出意外的话基本都是化肥广告,0
190,2岁男童眼睛现3条寄生虫游动,0
428,"昼夜运动是指由于地球绕其轴线旋转,天空中的物体似乎在移动",1
245,前寒武纪是地球上的一个古老时代,1
402,太阳对地球海洋的引力导致潮汐,1
172,俄罗斯贝加尔湖水域发生地震,0
301,太阳能电池板是一种电源,1
118,开始缴供暖费啦,0
362,橄榄石是第一个在最高温度和压力区域形成和结晶的矿物,1
67,我省启动第三次土壤普查,0
36,曾经的我，只知道在百度找资源,0
193,给眼睛拍张照，竟然查出了血管硬化,0
242,地球表面由70%的海洋组成,1
240,地球绕其自转轴的倾斜导致季节发生,1
170,8类湖泊，8种美，中国都齐了,0
65,他想增加预算，买个更好的电脑,0
271,赤道接收的阳光比地球上的两极多,1
363,海洋是地球上最大的水体,1
3,对汽车一窍不通,0
66,现在好像都不怎么提酸雨了,0
166,科学家宣布在确定地球或火星生命起源方面取得突破,0
338,全球意味着整个地球,1
422,太阳能电池通常由硅制成,1
55,全球最逼真骗局，一块岩石让1亿人上当,0
296,恒星的意思是与恒星有关的,1
459,"地球绕其倾斜轴旋转,每天发生一次",1
28,我对各类小说的渴望几乎能够横扫一切饥饿,0
326,"当它接近地球中心时,该层的温度将变得更高",1
247,地球是由岩石构成的,1
421,南半球是地球的一种半球,1
154,我们要解决空气污染问题,0
315,金星是一种行星,1
445,水以液态､固态､气态存在于地球上,1
355,行星是一种天体,1
384,月亮不如太阳明亮,1
333,太阳通过太阳光将自身的热能传递给行星,1
19,只要母亲还在，那土地上的一草一木，都是我灵魂的养分,0
466,铁是一种矿物,1
396,太阳是一种黄矮星,1
325,一颗行星暴露在围绕其旋转的恒星的热量下,1
107,藻类创造了我们，折磨着我们，甚至也可能拯救我们,0
191,他十分害怕，身体不停地颤抖,0
461,使用可再生能源的一个例子是使用太阳能为房屋供暖,1
50,韦布空间望远镜遭微流星体撞击，一块镜面错位,0
244,太阳的能量正在使海水变暖,1
329,天王星是离太阳第七近的行星,1
57,工作要求不断增加，这谁受得了,0
90,这个人还挺有趣的,0
163,事事分明，眼睛里容不得沙子,0
469,水星是一种行星,1
458,地球绕其自转轴倾斜会导致季节变化,1
68,尝到了甜头，让他越发膨胀,0
265,太阳是一种被称为阳光的光能来源,1
385,中层是地球大气层的一层,1
89,教培行业迎来行业大地震,0
148,有一点点优势就翘起了尾巴,0
462,地壳是地球的一层,1
236,在太空中发现行星,1
288,卫星绕行星运行,1
278,叶菜是矿物质的良好来源,1
56,美媒报道，中国治理空气污染7年走完美国30年的路,0
407,地球表面有山脉,1
85,温暖的话语就像一道光照亮了心房,0
194,公司目前已与数家新能源开发及投资专业机构形成战略合作关系,0
280,恒星需要能量,1
376,地球绕太阳转,1
375,月球的暗半部分不可见,1
425,木星是一种外行星,1
31,计划通过较简单的方法判断水质好坏,0
98,她含泪收下离婚协议，转身走向了冰冷的手术台,0
386,紫外线可用于识别矿物的荧光,1
150,7款寒冬必备好物，让冬天变得温暖，不再寒冷,0
295,"在恒星生命周期中,白矮星是最后一个阶段",1
58,就在那不计其数的星系之中，就有我们现在居住的地方——银河系,0
84,近几年，蒸汽眼罩可谓是在护眼界火了一把,0
123,研究者实时观察到被黑洞吞没中的天体,0
432,长石是一种矿物,1
321,一次完整的地球绕太阳公转需要一年,1
349,新大陆的形成是地球表面的一种变化,1
379,海洋包含地球上大部分的水,1
411,太阳是一种恒星,1
437,太阳位于银河系边缘附近,1
389,太阳通过太阳光将自身的能量传递给地球,1
343,木星是离太阳第五近的行星,1
340,金星向地球反射的阳光比其他行星多,1
116,今日龙潭大峡谷，送给每个奔赴梦想的你,0
408,太阳能电池板由太阳能电池组成,1
115,浅谈光能开发史和集群相关性,0
300,"大质量恒星的生命周期是一个连续的过程,包括诞生阶段､主序星､红巨星､超新星",1
229,太阳是一种称为阳光的太阳能来源,1
353,"地幔最厚,是地球上最大的一层",1
232,矿物是一种物质,1
246,地球包含许多生态系统,1
346,地球上氧比氢更常见,1
352,星团是由恒星组成的,1
122,别玻璃心了,0
83,把破碎的自己都捡起来，把捡不起来的都掩埋,0
102,以前太小瞧水星了,0
45,儿子在农村父母心中的重量让人窒息,0
431,"如果一颗行星含有液态水,那么生命可以在该行星上发展",1
413,地球上出现的植物是一种事件,1
412,恒星是由气体组成的,1
435,"当流星进入地球大气层时,流星前面的空气会压缩",1
266,南极向太阳倾斜,1
197,巴中河流体检结果出炉,0
202,人大代表建议南方试点供暖,0
439,所有行星都以同一方向绕太阳运行,1
455,内核是地球上密度最高的一层,1
199,内华达州法庭驳回性侵指控,0
140,抵制不良思想的侵蚀,0
222,地球的半球是一种地方,1
341,地球的大气层是由21%的氧气体积组成的,1
307,北半球向太阳倾斜,1
223,鲍恩反应系列用于表示矿物的形成,1
188,上车询问能否不戴口罩，钓鱼执法,0
277,早期的光合生命增加了地球大气中的氧气水平,1
446,冬天是半球偏离太阳的时候,1
393,核反应是太阳能量的来源,1
135,所以，这些在家务农的老人，就想到了种树,0
415,地球在某些地方有岩石地形,1
243,热层是地球大气层的一层,1
262,行星或天体的引力不会改变该行星或天体上物体的质量,1
29,心碎成了一地玻璃渣,0
217,我们围绕着快乐哀愁，躲不过卫星的镜头,0
108,地球昼夜交替的瞬间，简直美爆了,0
20,勇士以熟悉的方式输球，压力来到他们身上了,0
109,这伤害，血条蒸发,0
87,一次性矿产资源，重视磷矿石,0
342,太阳是地球上生命的能量来源,1
8,喜马拉雅山脉高山树线高清全景图发布,0
470,海王星是太阳系中离太阳最远的行星,1
456,太阳从东方升起,1
366,红巨星阶段是恒星耗尽氢的阶段,1
397,地球从中心到表面的各层是内芯､外芯､软流圈､岩石圈,1
429,太阳将太阳能､光能､热能从自身转移到行星;地球通过太阳光,1
276,月球岩石的化学成分与地球岩石的化学成分相似,1
304,北极环境位于地球上,1
160,牧师作了精心的准备，搜集了大量内容,0
399,我们的太阳系位于银河系的边缘,1
228,小行星撞击会导致生物体迅速灭绝,1
77,看看这个我要给你介绍的营养价值表,0
71,这就是望远镜中所看到的景象，很美,0
42,农村房顶风靡的太阳能，突然销声匿迹了,0
449,太平洋板块活动导致地球上75%的活火山,1
183,这是烟台连续出口的第37批鲜活水生动物,0
219,电能只是在你眼里是常用的能源,0
209,地衣别再傻傻分不清,0
7,本周将有大量避险行为出现,0
293,恒星彼此相距数光年,1
251,解理是矿物的特性,1
13,星星点灯，照亮我的家门,0
38,在全市推广实施职业卫生分类分级监督工作,0
292,人类在地球上已经有30万年了,1
213,随着光子学的发展，未来光能可能会取代电能,0
252,小行星是一种物体,1
35,不想开汽车，又累又辛苦,0
210,这双鞋的大小很适合,0
153,这些看起来都差不多的恒星，恰恰就是人类解开宇宙奥秘的钥匙,0
165,下一集剧情将达到最大风速,0
256,地形是指行星表面的物理特征,1
47,垃圾科学分类，文明你我同行,0
75,一个月平均下来，每天也就几块钱,0
178,穿越回古代制造化肥,0
185,用爱发电,0
460,硬度可用于识别矿物,1
33,太阳缓缓下落，直至夜幕降临,0
149,白宫与太阳能企业举行会谈，以推动太阳能电池板美国制造,0
358,植物中的特殊组织将食物､水和矿物质输送到植物的其他部位,1
283,火星是一种行星,1
143,一灯如月看多时,0
406,"当太阳位于头顶时,它位于天空的最高点",1
155,爱心阳光洒满校园,0
419,地球大气层是地球的一部分,1
131,鱼缸水体有点雾蒙蒙的，不知道怎么解决,0
181,消费者要看产品质量证明，一些商家却遮遮掩掩,0
1,心如铁石，一旦分开，就是永别,0
409,硫是一种矿物,1
331,生物体是地球上的一种生命,1
305,一个水星年大约是88个地球日,1
430,沙子是由非常小的岩石､矿物组成的,1
323,太阳通过加热使水蒸发得更快,1
464,长石是一种矿物,1
26,这种臭名昭著的植物，有着不为人知的一面,0
239,最早的氧化岩沉积物可以为地球大气中的氧气积累提供证据,1
174,与大漠星河为伴，宁夏首家沙漠图书馆投入使用,0
167,下雨了，雨陪我哭泣,0
339,水星是最接近太阳的行星,1
105,别说深圳是文化沙漠了，深圳的文化一点都不比哪个城市差,0
440,矮行星是一种天体,1
39,过程，说重要也重要，说不重要也不重要,0
99,在自己家里建小型发电站,0
336,地球绕其轴线旋转导致恒星和月球在夜间似乎在天空中移动,1
273,太阳能电池类似于光伏电池,1
345,地球的大气层由体积分数为04%到1%的水蒸气组成,1
12,汽油价格涨了好多啊，开车都开不起了,0
442,地球绕其轴线旋转一天一次,1
79,试着研发用光能给手机充电,0
74,清脆的声音如河流一般潺潺流淌,0
313,铅笔芯含有矿物石墨,1
73,街市的灯光明亮，繁华喧嚣,0
168,这不是碳基生物能干出来的事,0
457,太阳能是一种光,1
241,月球绕其轴线旋转,1
139,曾不止一次地与饥饿打交道，也曾不止一次地拖垮了自己的身体,0
282,流星体进入地球大气层时会产生流星,1
255,地面意味着地球表面,1
368,黄矮星是一种小恒星,1
141,超重力，给人全新的时空思维,0
22,最好能降低或完全摆脱原生家庭的负面影响,0
52,班上同学的化学成绩普遍都不理想,0
254,太阳对地球海洋的引力引起潮汐,1
289,太阳能电池板将太阳光转换为电能,1
144,语言表达的方式也很重要,0
322,新的太阳能系统是由灰尘和气体组成的,1
438,月球是一种天体,1
126,资源越来越少，不能再这样坐以待毙了,0
253,太阳能可以加热空气,1
15,黑云压城，雷声滚滚，山崩地裂,0
269,二氧化碳可以捕获太阳能,1
10,拯救娃的玻璃心，从这一步开始,0
414,火星是一种内行星,1
233,冥王星是离太阳第九近的行星,1
106,把爱慢慢埋藏起来,0
311,地球上有人类,1
195,浙江启动十大助力行动，推动山区26县高质量发展,0
49,拳头如暴雨般落下,0
453,天文单位是测量地球和太阳之间距离的单位,1
43,雨水滴滴打落在心房,0
447,地幔是地球上最厚､最大的一层,1
370,全球范围指的是覆盖整个地球的东西,1
249,太阳能是一种电力来源,1
226,太阳能是一种光能,1
303,所有矿物均由自然地质作用形成,1
177,你是火星人吧，全世界都知道的事情就你不知道,0
92,感受那身体的温度，感受那心脏的跳动,0
373,新月是指月亮位于太阳和地球之间的时候,1
80,仔细查看卫星图像，美媒揣测中国新航母进展,0
121,对于这些老人来说，也知道种植粮食不挣钱,0
387,恒星核心的核聚变产生能量供恒星燃烧,1
112,好想以后的房子有个花园啊,0
70,十年，二十年，这些都太遥远了,0
51,市检验检测认证院发布质量管理体系文件,0
18,让老百姓过一个温暖的冬天,0
95,百年狼窝藏于太行山脉，揭开百年古村落的神秘面纱,0
184,出去郊游的时候，发现这个像树根一样的东西,0
186,社会没有那么容易生存，但也没有想象的那么难以生存,0
25,大口呼吸新鲜的空气,0
410,地球绕其倾斜轴旋转,1
369,对流层是地球大气层的较低层,1
103,大峡谷沿途的景色非常优美,0
76,机器人对他来说，有特别的吸引力,0
46,了解大臂构造和训练，告别蝴蝶袖,0
212,筹办了冰川摄影活动,0
221,黑洞是由大质量恒星坍缩形成的,1
258,星座包含恒星,1
257,"随着大气中二氧化碳含量的增加,地球的温度会升高;大气将升高",1
424,含水层是地球上最大的饮用水来源,1
227,"如果一颗行星变得太热,那么该行星就无法维持生命",1
120,打破冰冷态度，放下身段回答学子的疑问,0
312,柯伊伯带包含轨道彗星､小行星,1
324,恒星的质量决定恒星的类型,1
162,当地对外通信或需2周恢复，恐下酸雨,0
114,别让监管不力成为罪恶滋生的土壤,0
308,地球绕其倾斜轴旋转,1
443,地球环境如何变化是地球环境史的一部分,1
206,在同济大学设计院干了5年多结构设计,0
367,国家位于地球表面,1
310,大气层是地球的一部分,1
4,在花园里喝茶聊天，享受鸟儿的歌唱和阵阵花香,0
130,融合算力网平台，实现算力资源智能调度与供给,0
136,两人一对视，仿佛有电流通过,0
314,离太阳最远的四颗行星是由气体构成的,1
260,地球大气由78%的氮质量组成,1
391,"当一颗行星的质量;一个天体的质量降低时,该行星的表面引力;该天体的表面引力减弱",1
218,真希望雨能下不停,0
94,又到一年的梅雨季节,0
263,岩石圈包含地壳;地球上地幔,1
60,组织干部要不断汲取为民养分,0
63,全国高考物理科目考试落下帷幕,0
173,夜幕降临，月亮升上了天空，洒下柔和的光,0
274,后期的猛烈轰炸是彗星对地球广泛撞击的一种时期,1
309,月球绕地球运行每月一次,1
48,阅读以下材料，回答问题,0
119,海洋到大气，人类似乎已经彻底污染了地球,0
344,平流层是地球大气层的一层,1
230,条纹板可用于测定矿物的硬度,1
152,太阳一出来，我家发大财,0
88,感觉情绪特别容易受别人负面情绪干扰,0
225,矿物石墨用于制作铅笔芯,1
14,在进入具体矿物的介绍之前，首先来看一下矿物和颜料的知识,0
110,在季节中迷失,0
360,石灰岩是由水和矿物溶液中的水蒸发形成的,1
169,人性的光芒终未被战争的残酷所掩埋,0
398,彗星撞击行星将动能转化为热能,1
5,别成天绕着别人转，要有自己的计划和生活,0
9,孩子纯净的内心遭受了污染,0
147,上百颗银河系恒星突然消失,0
237,石膏是一种矿物,1
372,恒星的表面温度导致恒星的颜色,1
205,英国地质学家因涉嫌走私文物遭伊拉克法院重判,0
78,生态环境部召开部常务会议,0
317,月球的完整自转需要1个月的时间,1
151,一万年太久，只争朝夕,0
128,他给人的感觉就很阳光,0
235,日光是指太阳照射到某个位置的时间,1
268,"如果是夜晚,那么太阳已经落山了",1
364,云母是一种矿物,1
208,今年高考，志愿倾向数学和材料,0
6,身穿牛仔裤配白衬衫，戴着椭圆形复古墨镜,0
124,有计划买一辆汽车,0
189,沈阳故宫集中展出清宫动物造型文物,0
69,大可敌国的12座湖泊，叹为观止,0
448,太阳能是一种电力来源,1
297,硬度是衡量矿物抗划伤能力的指标,1
11,直到峡谷之巅开放，主播和绝活哥就都去峡谷展示自己了,0
100,敬恒星，敬行星，敬天杀的黑洞，也敬吵闹的流星,0
350,海王星是离太阳第八近的行星,1
